Name,Constituency,Party,Cases,Education,Assets,Liabilities
Anil Singh,JAMMU,IND,0,Graduate Professional,"10,000",0
Anirudh Mehta,PURNIA,IND,0,10th Pass,"1,26,17,500",0
Anishbhai Gaffarbhai Bhimani,NAVSARI,IND,0,10th Pass,"1,50,000",0
Anita Ashok Shet,UTTARA KANNADA,IND,0,10th Pass,"63,78,641","27,10,000"
Anita Lalchand Khandade (Rajput),JALNA,IND,0,10th Pass,"1,15,13,562","20,22,033"
Anita Subhadarshini,ASKA,BJP,0,Post Graduate,"1,61,75,950","1,79,25,000"
Anita Tripathi,PILIBHIT,SHS,0,12th Pass,"1,05,59,842","50,00,000"
Anitha,ATTINGAL,IND,0,Graduate,"25,000",0
Anitha V,NAGAPATTINAM,BSP,0,Others,"15,21,000",0
Anjaiah Kondani,NIZAMABAD,Pyramid Party of India,0,12th Pass,"8,22,000",0
Anjali Ratnakar Baviskar,JALGAON,Vanchit Bahujan Aaghadi,0,Graduate,"2,03,88,746","36,65,000"
Anjan Kumar Yadav	,SECUNDERABAD,INC,0,Graduate,"2,46,55,065","24,00,000"
Ankadi Sathibabu,KAKINADA,IND,0,Illiterate,"50,000",0
Ankit,MUZAFFARNAGAR,IND,0,Graduate,"8,52,976",0
Ankit Mohan Chandak,YAVATMAL WASHIM,IND,0,Graduate Professional,"2,99,63,000","5,80,000"
Anmish Varma,VISAKHAPATNAM,IND,0,Post Graduate,"75,000",0
Annadhurai. K,DHARMAPURI,Ganasangam Party of India,0,5th Pass,"32,000",0
Annadurai B,TIRUVANNAMALAI,IND,0,5th Pass,"3,38,550",0
Annadurai C N,TIRUVANNAMALAI,DMK,0,Graduate,"13,48,97,466","3,22,43,604"
Annadurai P,MADURAI,IND,0,10th Pass,"4,01,171","40,000"
Annadurai T S,TIRUVANNAMALAI,IND,0,Graduate Professional,"16,34,400","4,99,000"
"Annadurai, V.",PERAMBALUR,IND,0,Post Graduate,"15,32,000",0
Annadurai. K,MAYILADUTHURAI,IND,0,8th Pass,"12,91,267","1,71,380"
Annakili,THENI,IND,0,10th Pass,"85,000",0
Annasaheb Devidasrao Ugale,JALNA,IND,0,Illiterate,"4,74,300",0
Annasaheb Ramchandra Rathod,OSMANABAD,Bhartiya Bahujan Kranti Dal,4,12th Pass,"13,82,000",170
Annasaheb Shankar Jolle,CHIKKODI,BJP,0,12th Pass,"34,49,22,831","19,55,95,693"
Annaso Sukhadev Maske,MADHA,IND,2,Others,"8,31,996",0
Annojirao.G,KOPPAL,Sarva Janata Party,0,12th Pass,"29,26,000",0
Anoop Kumar Pandey,DURG,IND,0,8th Pass,"5,25,000",0
